,word1,word2,freq
0,te,sbe,891
1,per,sbe,406
2,te,per,218
3,hbo,te,138
4,pr,per,69
5,pp,pr,35
6,pr,sbe,34
7,de,per,34
8,hbo,rm,30
9,de,te,30
10,pe,per,29
11,is,te,26
12,pio,te,25
13,is,per,25
14,pe,hbo,24
15,pr,te,24
16,hbo,crm,19
17,pio,per,18
18,is,sbe,18
19,pp,te,18
20,de,rv,15
21,pp,per,15
22,pio,hbo,14
23,pio,sbe,14
24,pe,te,14
25,de,sbe,12
26,pe,sbe,12
27,de,pp,11
28,fcp,per,9
29,crm,per,8
30,de,rm,8
31,rm,sbe,7
32,is,hbo,7
33,fcp,te,7
34,pe,pio,7
35,pp,pio,6
36,pp,sbe,6
37,per,rm,5
38,pe,pp,5
39,te,rm,5
40,pr,hbo,5
41,fcp,sbe,5
42,rv,te,4
43,is,rm,4
44,pe,de,3
45,rv,per,3
46,sv,sbe,3
47,pio,is,3
48,crm,sbe,3
49,de,pio,3
50,pio,rm,3
51,pe,pr,3
52,pr,rm,3
53,sv,te,2
54,de,hbo,2
55,pp,hbo,2
56,sv,per,2
57,de,fcp,2
58,fcp,is,2
59,fcp,hbo,2
60,pr,pio,2
61,sv,rm,2
62,pe,is,2
63,sv,is,2
64,sv,pr,1
65,pe,rm,1
66,de,is,1
67,pp,is,1
68,hbo,sbe,1
69,hbo,per,1
70,rv,hbo,1
71,rv,is,1
72,rv,sbe,1
73,pp,rm,1
74,de,sv,1
75,sv,pio,1
76,fcp,pio,1
77,pe,crm,1
78,hbo,ls,1
79,crm,te,1
80,pp,crm,1
