,도장,해체,설치,양중,굴착,정리,매설,기타
0,0,0,0,0,0,0,0,28
1,0,1,0,0,0,0,0,38
2,0,1,0,0,0,0,0,17
3,0,0,0,0,0,0,0,35
4,0,0,1,0,0,0,0,52
5,0,0,0,0,0,0,0,14
6,0,0,0,0,0,0,0,14
7,0,0,0,0,0,0,0,10
8,0,0,1,0,0,0,0,18
9,0,0,1,0,0,0,0,12
10,0,0,2,0,0,0,0,22
11,0,0,2,0,0,0,0,49
12,0,0,0,0,0,0,0,20
13,0,0,0,0,0,0,0,10
14,0,0,0,0,0,0,0,24
15,0,1,0,0,0,0,0,11
16,0,0,1,0,0,0,0,24
17,0,0,0,0,0,0,0,44
18,0,0,0,0,0,0,0,23
19,0,0,1,0,0,0,0,24
20,0,1,0,0,0,0,0,50
21,0,0,0,0,0,0,0,27
22,0,0,0,0,0,0,0,42
23,0,0,0,0,0,0,0,13
24,0,0,1,0,0,0,0,22
25,0,0,0,0,0,0,0,17
26,0,0,1,0,0,0,0,30
27,0,0,0,0,0,0,0,18
28,0,0,0,0,0,0,0,26
29,0,0,0,0,0,0,0,14
30,0,0,0,0,0,0,0,26
31,0,0,0,0,0,0,0,19
32,0,0,0,0,0,0,0,24
33,0,0,0,0,0,0,0,36
34,0,1,0,0,0,0,0,18
35,0,0,0,0,0,0,0,7
36,0,0,0,0,0,0,0,10
37,0,0,1,0,0,0,0,55
38,0,2,0,0,0,0,0,9
39,0,0,1,0,0,0,0,30
40,0,0,0,0,0,0,0,21
41,0,0,1,1,0,0,0,65
42,0,0,0,0,0,0,0,21
43,0,0,0,0,0,0,0,8
44,0,0,0,0,0,0,0,10
45,0,0,0,0,0,0,0,10
46,0,0,0,0,0,0,0,13
47,0,0,0,0,0,0,0,14
48,0,0,0,0,0,0,0,32
49,3,0,0,0,0,0,0,79
50,0,0,0,0,0,0,0,7
51,0,0,1,0,0,0,0,18
52,0,0,0,0,0,0,0,24
53,0,0,0,0,0,0,0,13
54,0,0,1,0,0,0,0,15
55,0,0,0,0,0,0,0,20
56,0,2,0,0,0,0,0,51
57,0,0,1,0,0,0,0,45
58,0,0,2,0,0,0,0,21
59,0,0,1,0,0,0,0,25
60,0,0,1,0,0,0,0,32
61,0,0,1,0,0,0,0,26
62,0,0,0,0,0,0,0,14
63,0,0,0,0,0,0,0,16
64,0,0,0,0,0,0,0,26
65,0,0,1,0,0,0,0,39
